Rewards,Mean Reward
-20.0,-20.0
-20.0,-20.0
-20.0,-20.0
-21.0,-20.25
-20.0,-20.2
-20.0,-20.166666666666668
-20.0,-20.142857142857142
-21.0,-20.25
-19.0,-20.11111111111111
-21.0,-20.2
-21.0,-20.272727272727273
-19.0,-20.166666666666668
-20.0,-20.153846153846153
-20.0,-20.142857142857142
-19.0,-20.066666666666666
-21.0,-20.125
-20.0,-20.11764705882353
-20.0,-20.11111111111111
-19.0,-20.05263157894737
-20.0,-20.05
-20.0,-20.047619047619047
-18.0,-19.954545454545453
-21.0,-20.0
-19.0,-19.958333333333332
-20.0,-19.96
-20.0,-19.96153846153846
-21.0,-20.0
-20.0,-20.0
-21.0,-20.03448275862069
-20.0,-20.033333333333335
-21.0,-20.06451612903226
-19.0,-20.03125
-20.0,-20.03030303030303
-21.0,-20.058823529411764
-20.0,-20.057142857142857
-19.0,-20.02777777777778
-20.0,-20.027027027027028
-21.0,-20.05263157894737
-21.0,-20.076923076923077
-21.0,-20.1
-21.0,-20.121951219512194
-21.0,-20.142857142857142
-21.0,-20.162790697674417
-21.0,-20.181818181818183
-19.0,-20.155555555555555
-21.0,-20.17391304347826
-19.0,-20.148936170212767
-21.0,-20.166666666666668
-21.0,-20.183673469387756
-20.0,-20.18
-20.0,-20.176470588235293
-21.0,-20.192307692307693
-19.0,-20.169811320754718
-21.0,-20.185185185185187
-21.0,-20.2
-20.0,-20.196428571428573
-19.0,-20.17543859649123
-21.0,-20.189655172413794
-19.0,-20.16949152542373
-19.0,-20.15
-18.0,-20.114754098360656
-21.0,-20.129032258064516
-19.0,-20.11111111111111
-20.0,-20.109375
-20.0,-20.107692307692307
-21.0,-20.12121212121212
-20.0,-20.119402985074625
-20.0,-20.11764705882353
-21.0,-20.130434782608695
-20.0,-20.12857142857143
-21.0,-20.140845070422536
-20.0,-20.13888888888889
-21.0,-20.15068493150685
-21.0,-20.16216216216216
-19.0,-20.14666666666667
-19.0,-20.13157894736842
-20.0,-20.12987012987013
-21.0,-20.141025641025642
-19.0,-20.126582278481013
-20.0,-20.125
-21.0,-20.135802469135804
-19.0,-20.121951219512194
-20.0,-20.120481927710845
-21.0,-20.13095238095238
-20.0,-20.129411764705882
-19.0,-20.11627906976744
-20.0,-20.114942528735632
-20.0,-20.113636363636363
-20.0,-20.1123595505618
-20.0,-20.11111111111111
-21.0,-20.12087912087912
-21.0,-20.130434782608695
-21.0,-20.13978494623656
-20.0,-20.138297872340427
-20.0,-20.13684210526316
-20.0,-20.135416666666668
-21.0,-20.144329896907216
-20.0,-20.142857142857142
-21.0,-20.151515151515152
-20.0,-20.15
-21.0,-20.15841584158416
-20.0,-20.15686274509804
-20.0,-20.155339805825243
-19.0,-20.14423076923077
-20.0,-20.142857142857142
-20.0,-20.141509433962263
-21.0,-20.149532710280372
-21.0,-20.15740740740741
-21.0,-20.165137614678898
-21.0,-20.172727272727272
-20.0,-20.17117117117117
-20.0,-20.169642857142858
-20.0,-20.168141592920353
-21.0,-20.17543859649123
-21.0,-20.182608695652174
-20.0,-20.18103448275862
-21.0,-20.188034188034187
-21.0,-20.194915254237287
-20.0,-20.19327731092437
-21.0,-20.2
-21.0,-20.206611570247933
-20.0,-20.204918032786885
-20.0,-20.203252032520325
-20.0,-20.201612903225808
-20.0,-20.2
-21.0,-20.206349206349206
-20.0,-20.20472440944882
-19.0,-20.1953125
-20.0,-20.1937984496124
-20.0,-20.192307692307693
-21.0,-20.198473282442748
-21.0,-20.204545454545453
-21.0,-20.210526315789473
-21.0,-20.21641791044776
-20.0,-20.214814814814815
-20.0,-20.21323529411765
-20.0,-20.21167883211679
-21.0,-20.217391304347824
-20.0,-20.215827338129497
-21.0,-20.22142857142857
-21.0,-20.22695035460993
-19.0,-20.218309859154928
-21.0,-20.223776223776223
-20.0,-20.22222222222222
-20.0,-20.220689655172414
-19.0,-20.21232876712329
-20.0,-20.210884353741495
-20.0,-20.20945945945946
-21.0,-20.21476510067114
-19.0,-20.206666666666667
-20.0,-20.205298013245034
-21.0,-20.210526315789473
-21.0,-20.215686274509803
-18.0,-20.2012987012987
-21.0,-20.206451612903226
-20.0,-20.205128205128204
-19.0,-20.197452229299362
-21.0,-20.20253164556962
-20.0,-20.20125786163522
-19.0,-20.19375
-19.0,-20.18633540372671
-19.0,-20.179012345679013
-20.0,-20.177914110429448
-20.0,-20.176829268292682
-20.0,-20.175757575757576
-20.0,-20.174698795180724
-21.0,-20.179640718562876
-19.0,-20.172619047619047
-19.0,-20.16568047337278
-21.0,-20.17058823529412
-20.0,-20.169590643274855
-20.0,-20.16860465116279
-18.0,-20.15606936416185
-20.0,-20.155172413793103
-20.0,-20.154285714285713
-19.0,-20.147727272727273
-21.0,-20.152542372881356
-21.0,-20.15730337078652
-20.0,-20.156424581005588
-21.0,-20.16111111111111
-18.0,-20.14917127071823
-21.0,-20.153846153846153
-20.0,-20.153005464480874
-20.0,-20.152173913043477
-20.0,-20.15135135135135
-21.0,-20.155913978494624
-20.0,-20.155080213903744
-20.0,-20.154255319148938
-21.0,-20.158730158730158
-21.0,-20.16315789473684
-20.0,-20.162303664921467
-21.0,-20.166666666666668
-20.0,-20.16580310880829
-20.0,-20.164948453608247
-21.0,-20.16923076923077
-20.0,-20.168367346938776
-21.0,-20.17258883248731
-21.0,-20.17676767676768
-21.0,-20.180904522613066
-20.0,-20.18
-21.0,-20.18407960199005
-21.0,-20.18811881188119
-20.0,-20.1871921182266
-20.0,-20.186274509803923
-21.0,-20.190243902439025
-20.0,-20.189320388349515
-19.0,-20.183574879227052
-21.0,-20.1875
-20.0,-20.1866028708134
-21.0,-20.19047619047619
-21.0,-20.194312796208532
-21.0,-20.19811320754717
-20.0,-20.197183098591548
-20.0,-20.19626168224299
-21.0,-20.2
-20.0,-20.199074074074073
-21.0,-20.202764976958527
-20.0,-20.201834862385322
-21.0,-20.205479452054796
-20.0,-20.204545454545453
-21.0,-20.20814479638009
-20.0,-20.207207207207208
-21.0,-20.210762331838566
-19.0,-20.205357142857142
-21.0,-20.20888888888889
-21.0,-20.212389380530972
-20.0,-20.211453744493394
-18.0,-20.20175438596491
-21.0,-20.20524017467249
-21.0,-20.208695652173912
-19.0,-20.203463203463205
-21.0,-20.20689655172414
-19.0,-20.201716738197426
-20.0,-20.200854700854702
-21.0,-20.204255319148935
-20.0,-20.203389830508474
-20.0,-20.20253164556962
