Rewards,Mean Reward
-21.0,-21.0
-21.0,-21.0
-20.0,-20.666666666666668
-21.0,-20.75
-21.0,-20.8
-19.0,-20.5
-20.0,-20.428571428571427
-20.0,-20.375
-20.0,-20.333333333333332
-21.0,-20.4
-20.0,-20.363636363636363
-20.0,-20.333333333333332
-21.0,-20.384615384615383
-21.0,-20.428571428571427
-20.0,-20.4
-20.0,-20.375
-20.0,-20.352941176470587
-20.0,-20.333333333333332
-21.0,-20.36842105263158
-21.0,-20.4
-21.0,-20.428571428571427
-20.0,-20.40909090909091
-20.0,-20.391304347826086
-20.0,-20.375
-20.0,-20.36
-20.0,-20.346153846153847
-20.0,-20.333333333333332
-20.0,-20.321428571428573
-20.0,-20.310344827586206
-21.0,-20.333333333333332
-21.0,-20.35483870967742
-21.0,-20.375
-21.0,-20.393939393939394
-21.0,-20.41176470588235
-20.0,-20.4
-21.0,-20.416666666666668
-21.0,-20.43243243243243
-20.0,-20.42105263157895
-21.0,-20.435897435897434
-21.0,-20.45
-21.0,-20.463414634146343
-20.0,-20.452380952380953
-21.0,-20.46511627906977
-21.0,-20.477272727272727
-21.0,-20.488888888888887
-21.0,-20.5
-21.0,-20.51063829787234
-20.0,-20.5
-21.0,-20.510204081632654
-21.0,-20.52
-20.0,-20.50980392156863
-21.0,-20.51923076923077
-19.0,-20.49056603773585
-21.0,-20.5
-21.0,-20.509090909090908
-20.0,-20.5
-21.0,-20.50877192982456
-21.0,-20.517241379310345
-21.0,-20.52542372881356
-21.0,-20.533333333333335
-21.0,-20.540983606557376
-21.0,-20.548387096774192
-20.0,-20.53968253968254
-20.0,-20.53125
-20.0,-20.523076923076925
-21.0,-20.53030303030303
-21.0,-20.53731343283582
-20.0,-20.529411764705884
-21.0,-20.536231884057973
-21.0,-20.542857142857144
-21.0,-20.549295774647888
-21.0,-20.555555555555557
-20.0,-20.54794520547945
-20.0,-20.54054054054054
-20.0,-20.533333333333335
-21.0,-20.539473684210527
-21.0,-20.545454545454547
-21.0,-20.55128205128205
-21.0,-20.556962025316455
-20.0,-20.55
-21.0,-20.555555555555557
-20.0,-20.548780487804876
-21.0,-20.55421686746988
-21.0,-20.55952380952381
-21.0,-20.564705882352943
-21.0,-20.569767441860463
-20.0,-20.563218390804597
-21.0,-20.568181818181817
-20.0,-20.56179775280899
-21.0,-20.566666666666666
-20.0,-20.560439560439562
-21.0,-20.565217391304348
-20.0,-20.559139784946236
-20.0,-20.5531914893617
-21.0,-20.557894736842105
-21.0,-20.5625
-21.0,-20.567010309278352
-21.0,-20.571428571428573
-21.0,-20.575757575757574
-20.0,-20.57
-20.0,-20.564356435643564
-21.0,-20.568627450980394
-21.0,-20.57281553398058
-21.0,-20.576923076923077
-21.0,-20.580952380952382
-19.0,-20.566037735849058
-20.0,-20.560747663551403
-21.0,-20.564814814814813
-20.0,-20.559633027522935
-20.0,-20.554545454545455
-20.0,-20.54954954954955
-20.0,-20.544642857142858
-21.0,-20.548672566371682
-21.0,-20.55263157894737
-20.0,-20.547826086956523
-20.0,-20.54310344827586
-21.0,-20.54700854700855
-21.0,-20.550847457627118
-21.0,-20.554621848739497
-21.0,-20.558333333333334
-21.0,-20.56198347107438
-20.0,-20.557377049180328
-21.0,-20.5609756097561
-21.0,-20.56451612903226
-21.0,-20.568
-20.0,-20.563492063492063
-20.0,-20.559055118110237
-20.0,-20.5546875
-21.0,-20.558139534883722
-21.0,-20.56153846153846
-21.0,-20.564885496183205
-20.0,-20.560606060606062
-20.0,-20.55639097744361
-21.0,-20.559701492537314
-21.0,-20.562962962962963
-20.0,-20.558823529411764
-21.0,-20.562043795620436
-21.0,-20.565217391304348
-21.0,-20.568345323741006
-21.0,-20.571428571428573
-20.0,-20.56737588652482
-20.0,-20.56338028169014
-20.0,-20.55944055944056
-21.0,-20.5625
-21.0,-20.56551724137931
-21.0,-20.568493150684933
-21.0,-20.571428571428573
-21.0,-20.574324324324323
-21.0,-20.57718120805369
-20.0,-20.573333333333334
-21.0,-20.576158940397352
-21.0,-20.57894736842105
-21.0,-20.58169934640523
-21.0,-20.584415584415584
-21.0,-20.587096774193547
-21.0,-20.58974358974359
-21.0,-20.59235668789809
-20.0,-20.588607594936708
-21.0,-20.59119496855346
-21.0,-20.59375
-21.0,-20.596273291925467
-21.0,-20.598765432098766
-20.0,-20.595092024539877
-21.0,-20.597560975609756
-20.0,-20.593939393939394
-20.0,-20.59036144578313
-21.0,-20.592814371257486
-21.0,-20.595238095238095
-21.0,-20.597633136094675
-21.0,-20.6
-20.0,-20.596491228070175
-20.0,-20.593023255813954
-20.0,-20.589595375722542
-21.0,-20.591954022988507
-20.0,-20.588571428571427
-20.0,-20.585227272727273
-21.0,-20.587570621468927
-20.0,-20.584269662921347
-20.0,-20.58100558659218
-21.0,-20.583333333333332
-21.0,-20.585635359116022
-21.0,-20.587912087912088
-20.0,-20.584699453551913
-21.0,-20.58695652173913
-21.0,-20.589189189189188
-21.0,-20.591397849462364
-20.0,-20.58823529411765
-21.0,-20.590425531914892
-20.0,-20.58730158730159
-21.0,-20.589473684210525
-21.0,-20.591623036649214
-20.0,-20.588541666666668
-20.0,-20.585492227979273
-21.0,-20.587628865979383
-21.0,-20.58974358974359
-20.0,-20.586734693877553
-20.0,-20.583756345177665
-21.0,-20.585858585858585
-21.0,-20.587939698492463
-21.0,-20.59
-21.0,-20.592039800995025
-21.0,-20.594059405940595
-20.0,-20.591133004926107
-21.0,-20.59313725490196
-21.0,-20.59512195121951
-20.0,-20.59223300970874
-21.0,-20.594202898550726
-20.0,-20.591346153846153
-20.0,-20.588516746411482
-21.0,-20.590476190476192
-20.0,-20.587677725118482
-21.0,-20.589622641509433
-20.0,-20.586854460093896
-21.0,-20.588785046728972
-20.0,-20.586046511627906
-20.0,-20.583333333333332
-21.0,-20.5852534562212
-21.0,-20.587155963302752
-21.0,-20.589041095890412
-21.0,-20.59090909090909
-21.0,-20.592760180995477
-21.0,-20.594594594594593
-20.0,-20.591928251121075
-21.0,-20.59375
-21.0,-20.595555555555556
-21.0,-20.597345132743364
-20.0,-20.594713656387665
-21.0,-20.596491228070175
-21.0,-20.59825327510917
-21.0,-20.6
-21.0,-20.6017316017316
-21.0,-20.603448275862068
-20.0,-20.600858369098713
-21.0,-20.602564102564102
-21.0,-20.604255319148937
-20.0,-20.60169491525424
-20.0,-20.59915611814346
-21.0,-20.600840336134453
-20.0,-20.598326359832637
-20.0,-20.595833333333335
-20.0,-20.593360995850624
-21.0,-20.59504132231405
-21.0,-20.596707818930042
-21.0,-20.598360655737704
-21.0,-20.6
-21.0,-20.601626016260163
-20.0,-20.59919028340081
-21.0,-20.600806451612904
-21.0,-20.602409638554217
-20.0,-20.6
-21.0,-20.60159362549801
-21.0,-20.603174603174605
-21.0,-20.604743083003953
-20.0,-20.60236220472441
-21.0,-20.603921568627452
