Rewards,Mean Reward,Epsilon
8.0,8.0,0.1
13.0,10.5,0.1
7.0,9.333333333333334,0.1
7.0,8.75,0.1
15.0,10.0,0.1
9.0,9.833333333333334,0.1
11.0,10.0,0.1
6.0,9.5,0.1
10.0,9.555555555555555,0.1
22.0,10.8,0.1
14.0,11.090909090909092,0.1
5.0,10.583333333333334,0.1
12.0,10.692307692307692,0.1
12.0,10.785714285714286,0.1
9.0,10.666666666666666,0.1
20.0,11.25,0.1
9.0,11.117647058823529,0.1
12.0,11.166666666666666,0.1
9.0,11.052631578947368,0.1
7.0,10.85,0.1
8.0,10.714285714285714,0.1
6.0,10.5,0.1
5.0,10.26086956521739,0.1
10.0,10.25,0.1
9.0,10.2,0.1
15.0,10.384615384615385,0.1
7.0,10.25925925925926,0.1
20.0,10.607142857142858,0.1
11.0,10.620689655172415,0.1
12.0,10.666666666666666,0.1
14.0,10.774193548387096,0.1
6.0,10.625,0.1
11.0,10.636363636363637,0.1
9.0,10.588235294117647,0.1
30.0,11.142857142857142,0.1
11.0,11.13888888888889,0.1
16.0,11.27027027027027,0.1
9.0,11.210526315789474,0.1
7.0,11.102564102564102,0.1
20.0,11.325,0.1
8.0,11.24390243902439,0.1
9.0,11.19047619047619,0.1
10.0,11.162790697674419,0.1
15.0,11.25,0.1
7.0,11.155555555555555,0.1
8.0,11.08695652173913,0.1
11.0,11.085106382978724,0.1
11.0,11.083333333333334,0.1
14.0,11.142857142857142,0.1
8.0,11.08,0.1
5.0,10.96078431372549,0.1
7.0,10.884615384615385,0.1
8.0,10.830188679245284,0.1
13.0,10.87037037037037,0.1
8.0,10.818181818181818,0.1
9.0,10.785714285714286,0.1
4.0,10.666666666666666,0.1
15.0,10.741379310344827,0.1
6.0,10.661016949152541,0.1
7.0,10.6,0.1
10.0,10.59016393442623,0.1
8.0,10.548387096774194,0.1
9.0,10.523809523809524,0.1
8.0,10.484375,0.1
2.0,10.353846153846154,0.1
13.0,10.393939393939394,0.1
7.0,10.343283582089553,0.1
8.0,10.308823529411764,0.1
9.0,10.289855072463768,0.1
8.0,10.257142857142858,0.1
9.0,10.23943661971831,0.1
3.0,10.13888888888889,0.1
10.0,10.136986301369863,0.1
13.0,10.175675675675675,0.1
3.0,10.08,0.1
7.0,10.039473684210526,0.1
6.0,9.987012987012987,0.1
14.0,10.038461538461538,0.1
2.0,9.936708860759493,0.1
10.0,9.9375,0.1
7.0,9.901234567901234,0.1
6.0,9.853658536585366,0.1
10.0,9.855421686746988,0.1
12.0,9.880952380952381,0.1
10.0,9.882352941176471,0.1
15.0,9.94186046511628,0.1
6.0,9.89655172413793,0.1
2.0,9.806818181818182,0.1
6.0,9.764044943820224,0.1
3.0,9.688888888888888,0.1
10.0,9.692307692307692,0.1
8.0,9.673913043478262,0.1
11.0,9.688172043010752,0.1
4.0,9.627659574468085,0.1
12.0,9.652631578947368,0.1
14.0,9.697916666666666,0.1
7.0,9.670103092783505,0.1
7.0,9.642857142857142,0.1
7.0,9.616161616161616,0.1
7.0,9.59,0.1
6.0,9.554455445544555,0.1
10.0,9.558823529411764,0.1
6.0,9.524271844660195,0.1
3.0,9.461538461538462,0.1
14.0,9.504761904761905,0.1
11.0,9.518867924528301,0.1
10.0,9.523364485981308,0.1
12.0,9.546296296296296,0.1
2.0,9.477064220183486,0.1
7.0,9.454545454545455,0.1
4.0,9.405405405405405,0.1
2.0,9.339285714285714,0.1
2.0,9.274336283185841,0.1
1.0,9.201754385964913,0.1
1.0,9.130434782608695,0.1
5.0,9.094827586206897,0.1
