Rewards,Mean Reward
-20.0,-20.0
-20.0,-20.0
-21.0,-20.333333333333332
-20.0,-20.25
-20.0,-20.2
-21.0,-20.333333333333332
-19.0,-20.142857142857142
-20.0,-20.125
-20.0,-20.11111111111111
-19.0,-20.0
-21.0,-20.09090909090909
-20.0,-20.083333333333332
-21.0,-20.153846153846153
-21.0,-20.214285714285715
-20.0,-20.2
-20.0,-20.1875
-21.0,-20.235294117647058
-21.0,-20.27777777777778
-21.0,-20.31578947368421
-20.0,-20.3
-21.0,-20.333333333333332
-20.0,-20.318181818181817
-18.0,-20.217391304347824
-21.0,-20.25
-21.0,-20.28
-20.0,-20.26923076923077
-20.0,-20.25925925925926
-19.0,-20.214285714285715
-20.0,-20.20689655172414
-21.0,-20.233333333333334
-21.0,-20.258064516129032
-21.0,-20.28125
-20.0,-20.272727272727273
-21.0,-20.294117647058822
-21.0,-20.314285714285713
-20.0,-20.305555555555557
-20.0,-20.2972972972973
-20.0,-20.289473684210527
-21.0,-20.307692307692307
-21.0,-20.325
-20.0,-20.317073170731707
-21.0,-20.333333333333332
-21.0,-20.348837209302324
-21.0,-20.363636363636363
-21.0,-20.377777777777776
-20.0,-20.369565217391305
-20.0,-20.361702127659573
-21.0,-20.375
-21.0,-20.387755102040817
-20.0,-20.38
-20.0,-20.372549019607842
-21.0,-20.384615384615383
-19.0,-20.358490566037737
-21.0,-20.37037037037037
-19.0,-20.345454545454544
-20.0,-20.339285714285715
-21.0,-20.350877192982455
-19.0,-20.32758620689655
-20.0,-20.322033898305083
-21.0,-20.333333333333332
-20.0,-20.327868852459016
-21.0,-20.338709677419356
-21.0,-20.349206349206348
-21.0,-20.359375
-20.0,-20.353846153846153
-21.0,-20.363636363636363
-21.0,-20.37313432835821
-20.0,-20.36764705882353
-21.0,-20.3768115942029
-20.0,-20.37142857142857
-20.0,-20.366197183098592
-21.0,-20.375
-21.0,-20.383561643835616
-20.0,-20.37837837837838
-20.0,-20.373333333333335
-21.0,-20.38157894736842
-21.0,-20.38961038961039
-19.0,-20.371794871794872
-20.0,-20.367088607594937
-20.0,-20.3625
-20.0,-20.358024691358025
-20.0,-20.353658536585368
-21.0,-20.36144578313253
-21.0,-20.36904761904762
-20.0,-20.36470588235294
-20.0,-20.36046511627907
-21.0,-20.367816091954023
-19.0,-20.352272727272727
-21.0,-20.359550561797754
-21.0,-20.366666666666667
-20.0,-20.36263736263736
-21.0,-20.369565217391305
-20.0,-20.365591397849464
-20.0,-20.361702127659573
-21.0,-20.36842105263158
-21.0,-20.375
-20.0,-20.371134020618555
-21.0,-20.377551020408163
-19.0,-20.363636363636363
-21.0,-20.37
-20.0,-20.366336633663366
-21.0,-20.372549019607842
-20.0,-20.368932038834952
-21.0,-20.375
-21.0,-20.38095238095238
-21.0,-20.38679245283019
-20.0,-20.38317757009346
-20.0,-20.37962962962963
-20.0,-20.376146788990827
-20.0,-20.37272727272727
-20.0,-20.36936936936937
-21.0,-20.375
-21.0,-20.38053097345133
-20.0,-20.37719298245614
-20.0,-20.37391304347826
-20.0,-20.370689655172413
-21.0,-20.376068376068375
-21.0,-20.38135593220339
-21.0,-20.386554621848738
-21.0,-20.391666666666666
-20.0,-20.388429752066116
-20.0,-20.385245901639344
-21.0,-20.390243902439025
-20.0,-20.387096774193548
-20.0,-20.384
-20.0,-20.38095238095238
-21.0,-20.385826771653544
-21.0,-20.390625
-21.0,-20.3953488372093
-20.0,-20.392307692307693
-21.0,-20.396946564885496
-19.0,-20.386363636363637
-21.0,-20.39097744360902
-20.0,-20.388059701492537
-21.0,-20.392592592592592
-21.0,-20.397058823529413
-21.0,-20.401459854014597
-19.0,-20.391304347826086
-20.0,-20.388489208633093
-21.0,-20.392857142857142
-21.0,-20.397163120567377
-21.0,-20.401408450704224
-20.0,-20.3986013986014
-21.0,-20.40277777777778
-21.0,-20.406896551724138
-21.0,-20.410958904109588
-19.0,-20.401360544217688
-21.0,-20.405405405405407
-21.0,-20.409395973154364
-20.0,-20.406666666666666
-20.0,-20.403973509933774
-20.0,-20.401315789473685
-21.0,-20.405228758169933
-20.0,-20.4025974025974
-20.0,-20.4
-21.0,-20.403846153846153
-19.0,-20.394904458598727
-20.0,-20.39240506329114
-20.0,-20.38993710691824
-20.0,-20.3875
-21.0,-20.391304347826086
-21.0,-20.395061728395063
-20.0,-20.392638036809817
-20.0,-20.390243902439025
-21.0,-20.393939393939394
-21.0,-20.397590361445783
-19.0,-20.389221556886227
-20.0,-20.386904761904763
-20.0,-20.384615384615383
-18.0,-20.370588235294118
-20.0,-20.36842105263158
-19.0,-20.36046511627907
-20.0,-20.358381502890172
-19.0,-20.350574712643677
-20.0,-20.34857142857143
-20.0,-20.34659090909091
-19.0,-20.338983050847457
-19.0,-20.331460674157302
-21.0,-20.335195530726256
-20.0,-20.333333333333332
-20.0,-20.331491712707184
-21.0,-20.335164835164836
-21.0,-20.338797814207652
-21.0,-20.342391304347824
-21.0,-20.345945945945946
-19.0,-20.338709677419356
-20.0,-20.336898395721924
-20.0,-20.335106382978722
-20.0,-20.333333333333332
-21.0,-20.33684210526316
-20.0,-20.335078534031414
-21.0,-20.338541666666668
-21.0,-20.3419689119171
-20.0,-20.34020618556701
-19.0,-20.333333333333332
-20.0,-20.331632653061224
-20.0,-20.32994923857868
-20.0,-20.328282828282827
-20.0,-20.326633165829147
-17.0,-20.31
-21.0,-20.313432835820894
-19.0,-20.306930693069308
-20.0,-20.305418719211822
-21.0,-20.308823529411764
-18.0,-20.297560975609755
-20.0,-20.296116504854368
-21.0,-20.29951690821256
-20.0,-20.298076923076923
-21.0,-20.301435406698566
-21.0,-20.304761904761904
-19.0,-20.298578199052134
-19.0,-20.29245283018868
-21.0,-20.295774647887324
-20.0,-20.294392523364486
-20.0,-20.293023255813953
-20.0,-20.291666666666668
-19.0,-20.285714285714285
-21.0,-20.288990825688074
-20.0,-20.28767123287671
-19.0,-20.28181818181818
-19.0,-20.27601809954751
-20.0,-20.274774774774773
-20.0,-20.27354260089686
-20.0,-20.272321428571427
-20.0,-20.27111111111111
-19.0,-20.265486725663717
-21.0,-20.26872246696035
-21.0,-20.271929824561404
-21.0,-20.275109170305676
-19.0,-20.269565217391303
-21.0,-20.272727272727273
-21.0,-20.275862068965516
-20.0,-20.27467811158798
-20.0,-20.273504273504273
-21.0,-20.27659574468085
-18.0,-20.266949152542374
-19.0,-20.261603375527425
