Rewards,Mean Reward
-21.0,-21.0
-20.0,-20.5
-21.0,-20.666666666666668
-20.0,-20.5
-21.0,-20.6
-21.0,-20.666666666666668
-20.0,-20.571428571428573
-21.0,-20.625
-19.0,-20.444444444444443
-21.0,-20.5
-19.0,-20.363636363636363
-20.0,-20.333333333333332
-19.0,-20.23076923076923
-20.0,-20.214285714285715
-21.0,-20.266666666666666
-21.0,-20.3125
-19.0,-20.235294117647058
-19.0,-20.166666666666668
-21.0,-20.210526315789473
-21.0,-20.25
-19.0,-20.19047619047619
-20.0,-20.181818181818183
-21.0,-20.217391304347824
-21.0,-20.25
-21.0,-20.28
-20.0,-20.26923076923077
-21.0,-20.296296296296298
-19.0,-20.25
-20.0,-20.24137931034483
-21.0,-20.266666666666666
-20.0,-20.258064516129032
-20.0,-20.25
-20.0,-20.242424242424242
-21.0,-20.264705882352942
-20.0,-20.257142857142856
-19.0,-20.22222222222222
-20.0,-20.216216216216218
-20.0,-20.210526315789473
-21.0,-20.23076923076923
-20.0,-20.225
-19.0,-20.195121951219512
-20.0,-20.19047619047619
-20.0,-20.186046511627907
-21.0,-20.204545454545453
-21.0,-20.22222222222222
-20.0,-20.217391304347824
-21.0,-20.23404255319149
-21.0,-20.25
-19.0,-20.224489795918366
-21.0,-20.24
-20.0,-20.235294117647058
-20.0,-20.23076923076923
-20.0,-20.22641509433962
-21.0,-20.24074074074074
-20.0,-20.236363636363638
-20.0,-20.232142857142858
-19.0,-20.210526315789473
-21.0,-20.224137931034484
-19.0,-20.203389830508474
-19.0,-20.183333333333334
-20.0,-20.18032786885246
-21.0,-20.193548387096776
-20.0,-20.19047619047619
-21.0,-20.203125
-20.0,-20.2
-21.0,-20.21212121212121
-21.0,-20.223880597014926
-20.0,-20.220588235294116
-19.0,-20.202898550724637
-20.0,-20.2
-19.0,-20.183098591549296
-20.0,-20.180555555555557
-20.0,-20.17808219178082
-21.0,-20.18918918918919
-21.0,-20.2
-21.0,-20.210526315789473
-20.0,-20.207792207792206
-21.0,-20.21794871794872
-20.0,-20.21518987341772
-20.0,-20.2125
-19.0,-20.19753086419753
-20.0,-20.195121951219512
-21.0,-20.204819277108435
-20.0,-20.202380952380953
-20.0,-20.2
-21.0,-20.209302325581394
-19.0,-20.195402298850574
-21.0,-20.204545454545453
-21.0,-20.213483146067414
-21.0,-20.22222222222222
-21.0,-20.23076923076923
-20.0,-20.22826086956522
-21.0,-20.236559139784948
-20.0,-20.23404255319149
-20.0,-20.231578947368423
-20.0,-20.229166666666668
-21.0,-20.237113402061855
-20.0,-20.23469387755102
-18.0,-20.21212121212121
-20.0,-20.21
-20.0,-20.207920792079207
-20.0,-20.205882352941178
-19.0,-20.194174757281555
-21.0,-20.201923076923077
-21.0,-20.20952380952381
-20.0,-20.20754716981132
-21.0,-20.214953271028037
-20.0,-20.212962962962962
-19.0,-20.201834862385322
-21.0,-20.20909090909091
-18.0,-20.18918918918919
-20.0,-20.1875
-21.0,-20.194690265486727
-21.0,-20.20175438596491
-21.0,-20.208695652173912
-20.0,-20.20689655172414
-20.0,-20.205128205128204
-20.0,-20.203389830508474
-20.0,-20.201680672268907
-19.0,-20.191666666666666
-20.0,-20.1900826446281
-18.0,-20.172131147540984
-18.0,-20.15447154471545
-21.0,-20.161290322580644
-21.0,-20.168
-21.0,-20.174603174603174
-21.0,-20.181102362204726
-20.0,-20.1796875
-20.0,-20.17829457364341
-19.0,-20.16923076923077
-20.0,-20.16793893129771
-19.0,-20.15909090909091
-21.0,-20.165413533834588
-19.0,-20.15671641791045
-21.0,-20.16296296296296
-20.0,-20.16176470588235
-21.0,-20.16788321167883
-21.0,-20.17391304347826
-19.0,-20.165467625899282
-21.0,-20.17142857142857
-21.0,-20.177304964539008
-20.0,-20.176056338028168
-20.0,-20.174825174825173
-21.0,-20.180555555555557
-20.0,-20.179310344827588
-20.0,-20.17808219178082
-20.0,-20.17687074829932
-19.0,-20.16891891891892
-21.0,-20.174496644295303
-19.0,-20.166666666666668
-20.0,-20.165562913907284
-21.0,-20.17105263157895
-21.0,-20.176470588235293
-21.0,-20.181818181818183
-20.0,-20.18064516129032
-20.0,-20.17948717948718
-20.0,-20.178343949044585
-21.0,-20.18354430379747
-21.0,-20.18867924528302
-20.0,-20.1875
-18.0,-20.17391304347826
-18.0,-20.160493827160494
-21.0,-20.165644171779142
-19.0,-20.158536585365855
-19.0,-20.151515151515152
-20.0,-20.150602409638555
-19.0,-20.143712574850298
-21.0,-20.148809523809526
-19.0,-20.142011834319526
-19.0,-20.13529411764706
-21.0,-20.140350877192983
-20.0,-20.13953488372093
-21.0,-20.14450867052023
-21.0,-20.149425287356323
-19.0,-20.142857142857142
-21.0,-20.147727272727273
-20.0,-20.146892655367232
-20.0,-20.146067415730336
-19.0,-20.139664804469273
-21.0,-20.144444444444446
-21.0,-20.14917127071823
-20.0,-20.14835164835165
-21.0,-20.153005464480874
-20.0,-20.152173913043477
-20.0,-20.15135135135135
-21.0,-20.155913978494624
-20.0,-20.155080213903744
-20.0,-20.154255319148938
-21.0,-20.158730158730158
-21.0,-20.16315789473684
-18.0,-20.151832460732983
-20.0,-20.151041666666668
-20.0,-20.150259067357513
-20.0,-20.149484536082475
-20.0,-20.148717948717948
-18.0,-20.137755102040817
-19.0,-20.131979695431472
-20.0,-20.13131313131313
-20.0,-20.13065326633166
-21.0,-20.135
-20.0,-20.134328358208954
-19.0,-20.128712871287128
-20.0,-20.12807881773399
-19.0,-20.122549019607842
-21.0,-20.12682926829268
-21.0,-20.131067961165048
-20.0,-20.130434782608695
-20.0,-20.129807692307693
-20.0,-20.129186602870814
-20.0,-20.12857142857143
-20.0,-20.127962085308056
-20.0,-20.12735849056604
-19.0,-20.122065727699532
-19.0,-20.11682242990654
-21.0,-20.12093023255814
-20.0,-20.12037037037037
-21.0,-20.12442396313364
-19.0,-20.119266055045873
-20.0,-20.118721461187214
-20.0,-20.118181818181817
-20.0,-20.11764705882353
-20.0,-20.117117117117118
-21.0,-20.121076233183857
-20.0,-20.120535714285715
-20.0,-20.12
-21.0,-20.123893805309734
-20.0,-20.123348017621144
-19.0,-20.11842105263158
-21.0,-20.12227074235808
-21.0,-20.12608695652174
-20.0,-20.125541125541126
-21.0,-20.129310344827587
-21.0,-20.13304721030043
-21.0,-20.136752136752136
-19.0,-20.131914893617022
-20.0,-20.13135593220339
-21.0,-20.135021097046412
-19.0,-20.130252100840337
-21.0,-20.13389121338912
-20.0,-20.133333333333333
-20.0,-20.13278008298755
-20.0,-20.132231404958677
-20.0,-20.131687242798353
-20.0,-20.131147540983605
-21.0,-20.13469387755102
-20.0,-20.134146341463413
-20.0,-20.133603238866396
-21.0,-20.137096774193548
-20.0,-20.136546184738958
-20.0,-20.136
-20.0,-20.13545816733068
-20.0,-20.134920634920636
-19.0,-20.130434782608695
-21.0,-20.133858267716537
-20.0,-20.133333333333333
-21.0,-20.13671875
-21.0,-20.140077821011673
-18.0,-20.131782945736433
-19.0,-20.127413127413128
-19.0,-20.123076923076923
-21.0,-20.126436781609197
-20.0,-20.125954198473284
-18.0,-20.11787072243346
-20.0,-20.117424242424242
-21.0,-20.120754716981132
-19.0,-20.116541353383457
-21.0,-20.119850187265918
-19.0,-20.115671641791046
-19.0,-20.111524163568774
