Rewards,Mean Reward
-21.0,-21.0
-21.0,-21.0
-21.0,-21.0
-21.0,-21.0
-20.0,-20.8
-20.0,-20.666666666666668
-21.0,-20.714285714285715
-20.0,-20.625
-21.0,-20.666666666666668
-20.0,-20.6
-20.0,-20.545454545454547
-21.0,-20.583333333333332
-21.0,-20.615384615384617
-20.0,-20.571428571428573
-19.0,-20.466666666666665
-21.0,-20.5
-21.0,-20.529411764705884
-19.0,-20.444444444444443
-20.0,-20.42105263157895
-19.0,-20.35
-20.0,-20.333333333333332
-19.0,-20.272727272727273
-20.0,-20.26086956521739
-21.0,-20.291666666666668
-20.0,-20.28
-21.0,-20.307692307692307
-20.0,-20.296296296296298
-21.0,-20.321428571428573
-20.0,-20.310344827586206
-19.0,-20.266666666666666
-20.0,-20.258064516129032
-20.0,-20.25
-20.0,-20.242424242424242
-20.0,-20.235294117647058
-21.0,-20.257142857142856
-20.0,-20.25
-20.0,-20.243243243243242
-21.0,-20.263157894736842
-21.0,-20.28205128205128
-20.0,-20.275
-21.0,-20.29268292682927
-21.0,-20.30952380952381
-21.0,-20.325581395348838
-21.0,-20.34090909090909
-21.0,-20.355555555555554
-21.0,-20.369565217391305
-20.0,-20.361702127659573
-21.0,-20.375
-21.0,-20.387755102040817
-21.0,-20.4
-21.0,-20.41176470588235
-21.0,-20.423076923076923
-21.0,-20.433962264150942
-21.0,-20.444444444444443
-21.0,-20.454545454545453
-21.0,-20.464285714285715
-19.0,-20.43859649122807
-19.0,-20.413793103448278
-21.0,-20.423728813559322
-21.0,-20.433333333333334
-20.0,-20.42622950819672
-21.0,-20.43548387096774
-21.0,-20.444444444444443
-20.0,-20.4375
-20.0,-20.43076923076923
-21.0,-20.439393939393938
-20.0,-20.432835820895523
-19.0,-20.41176470588235
-21.0,-20.420289855072465
-21.0,-20.428571428571427
-20.0,-20.422535211267604
-20.0,-20.416666666666668
-19.0,-20.397260273972602
-21.0,-20.405405405405407
-21.0,-20.413333333333334
-21.0,-20.42105263157895
-20.0,-20.415584415584416
-19.0,-20.397435897435898
-21.0,-20.40506329113924
-20.0,-20.4
-21.0,-20.40740740740741
-20.0,-20.402439024390244
-19.0,-20.3855421686747
-21.0,-20.392857142857142
-20.0,-20.388235294117646
-20.0,-20.38372093023256
-21.0,-20.39080459770115
-21.0,-20.397727272727273
-20.0,-20.39325842696629
-19.0,-20.377777777777776
-21.0,-20.384615384615383
-21.0,-20.391304347826086
-21.0,-20.397849462365592
-21.0,-20.404255319148938
-20.0,-20.4
-20.0,-20.395833333333332
-21.0,-20.4020618556701
-21.0,-20.408163265306122
-21.0,-20.414141414141415
-20.0,-20.41
-20.0,-20.405940594059405
-19.0,-20.392156862745097
-20.0,-20.388349514563107
-21.0,-20.39423076923077
-21.0,-20.4
-20.0,-20.39622641509434
-19.0,-20.38317757009346
-21.0,-20.38888888888889
-20.0,-20.38532110091743
-20.0,-20.381818181818183
-20.0,-20.37837837837838
-20.0,-20.375
-21.0,-20.38053097345133
-18.0,-20.359649122807017
-21.0,-20.36521739130435
-20.0,-20.362068965517242
-19.0,-20.35042735042735
-20.0,-20.347457627118644
-21.0,-20.352941176470587
-20.0,-20.35
-21.0,-20.355371900826448
-21.0,-20.360655737704917
-21.0,-20.365853658536587
-21.0,-20.370967741935484
-20.0,-20.368
-21.0,-20.373015873015873
-20.0,-20.37007874015748
-21.0,-20.375
-21.0,-20.37984496124031
-21.0,-20.384615384615383
-20.0,-20.38167938931298
-21.0,-20.386363636363637
-20.0,-20.383458646616543
-17.0,-20.35820895522388
-21.0,-20.362962962962964
-21.0,-20.36764705882353
-20.0,-20.364963503649633
-20.0,-20.36231884057971
-21.0,-20.366906474820144
-20.0,-20.364285714285714
-21.0,-20.368794326241133
-20.0,-20.366197183098592
-21.0,-20.37062937062937
-19.0,-20.36111111111111
-20.0,-20.358620689655172
-20.0,-20.356164383561644
-21.0,-20.360544217687075
-20.0,-20.35810810810811
-21.0,-20.36241610738255
-20.0,-20.36
-20.0,-20.357615894039736
-21.0,-20.361842105263158
-21.0,-20.366013071895424
-21.0,-20.37012987012987
-19.0,-20.361290322580643
-21.0,-20.365384615384617
-20.0,-20.363057324840764
-21.0,-20.367088607594937
-20.0,-20.364779874213838
-20.0,-20.3625
-21.0,-20.366459627329192
-17.0,-20.34567901234568
-21.0,-20.349693251533743
-20.0,-20.347560975609756
-20.0,-20.345454545454544
-20.0,-20.343373493975903
-21.0,-20.347305389221557
-20.0,-20.345238095238095
-20.0,-20.34319526627219
-20.0,-20.341176470588234
-20.0,-20.339181286549707
-21.0,-20.343023255813954
-21.0,-20.346820809248555
-21.0,-20.350574712643677
-21.0,-20.354285714285716
-21.0,-20.357954545454547
-21.0,-20.361581920903955
-21.0,-20.365168539325843
-20.0,-20.363128491620113
-18.0,-20.35
-21.0,-20.353591160220994
-20.0,-20.35164835164835
-21.0,-20.3551912568306
-20.0,-20.35326086956522
-21.0,-20.356756756756756
-20.0,-20.35483870967742
-20.0,-20.352941176470587
-20.0,-20.351063829787233
-21.0,-20.354497354497354
-19.0,-20.347368421052632
-21.0,-20.350785340314136
-21.0,-20.354166666666668
-20.0,-20.352331606217618
-21.0,-20.355670103092784
-21.0,-20.358974358974358
-21.0,-20.362244897959183
-21.0,-20.365482233502537
-21.0,-20.36868686868687
-21.0,-20.371859296482413
-19.0,-20.365
-21.0,-20.3681592039801
-21.0,-20.371287128712872
-21.0,-20.374384236453203
-20.0,-20.372549019607842
-21.0,-20.37560975609756
-21.0,-20.37864077669903
-20.0,-20.3768115942029
-21.0,-20.379807692307693
-21.0,-20.382775119617225
-21.0,-20.385714285714286
-19.0,-20.379146919431278
-21.0,-20.382075471698112
-20.0,-20.380281690140844
-21.0,-20.38317757009346
-21.0,-20.386046511627907
-19.0,-20.37962962962963
-20.0,-20.377880184331797
-20.0,-20.376146788990827
-21.0,-20.378995433789953
-20.0,-20.37727272727273
-21.0,-20.380090497737555
-21.0,-20.382882882882882
-21.0,-20.385650224215247
-21.0,-20.388392857142858
-21.0,-20.391111111111112
-21.0,-20.393805309734514
-21.0,-20.39647577092511
-21.0,-20.399122807017545
-20.0,-20.397379912663755
-20.0,-20.395652173913042
-20.0,-20.393939393939394
-20.0,-20.392241379310345
-20.0,-20.390557939914164
-20.0,-20.38888888888889
-21.0,-20.391489361702128
-21.0,-20.39406779661017
-21.0,-20.39662447257384
-19.0,-20.39075630252101
-20.0,-20.389121338912133
-19.0,-20.383333333333333
-20.0,-20.38174273858921
-20.0,-20.380165289256198
-19.0,-20.374485596707817
-21.0,-20.37704918032787
-21.0,-20.379591836734694
-21.0,-20.382113821138212
-20.0,-20.380566801619434
-19.0,-20.375
-20.0,-20.373493975903614
-20.0,-20.372
-20.0,-20.37051792828685
-21.0,-20.373015873015873
-21.0,-20.375494071146246
-21.0,-20.37795275590551
